variable,label,,values,2007,2008,2009,2010,2011,2012,2014,2016
,,239,"Yingge Dist., Taipei County",,,,,,,,
,,241,"Sanchong Dist., Taipei County",,,,,,,,
,,242,"Xinzhuang Dist., Taipei County",,,,,,,,
,,243,"Taishan Dist., Taipei County",,,,,,,,
,,244,"Linkou Dist., Taipei County",,,,,,,,
,,247,"Luzhou Dist., Taipei County",,,,,,,,
,,248,"Wugu Dist., Taipei County",,,,,,,,
,,249,"Bali Dist., Taipei County",,,,,,,,
,,251,"Tamsui Dist., Taipei County",,,,,,,,
,,252,"Sanzhi Dist., Taipei County",,,,,,,,
,,253,"Shimen Dist., Taipei County",,,,,,,,
,,254,Taipei County,,,,,,,,
,,260,"Yilan City, Yilan County",,,,,,,,
,,261,"Toucheng Township, Yilan County",,,,,,,,
,,262,"Jiaoxi Township, Yilan County",,,,,,,,
,,263,"Zhuangwei Township, Yilan County",,,,,,,,
,,264,"Yuanshan Township, Yilan County",,,,,,,,
,,265,"Luodong Township, Yilan County",,,,,,,,
,,266,"Sanxing Township, Yilan County",,,,,,,,
,,267,"Datong Township, Yilan County",,,,,,,,
,,268,"Wujie Township, Yilan County",,,,,,,,
,,269,"Dongshan Township, Yilan County",,,,,,,,
,,270,"Su'ao Township, Yilan County",,,,,,,,
,,272,"Nan'ao Township, Yilan County",,,,,,,,
,,273,Yilan County,,,,,,,,
,,290,Diaoyutai,,,,,,,,
,,300,Hsinchu City,,,,,,,,
,,302,"Zhubei City, Hsinchu County",,,,,,,,
,,303,"Hukou Township, Hsinchu County",,,,,,,,
,,304,"Xinfeng Township, Hsinchu County",,,,,,,,
,,305,"Xinpu Township, Hsinchu County",,,,,,,,
,,306,"Guanxi Township, Hsinchu County",,,,,,,,
,,307,"Qionglin Township, Hsinchu County",,,,,,,,
,,308,"Baoshan Township, Hsinchu County",,,,,,,,
,,310,"Zhudong Township, Hsinchu County",,,,,,,,
,,311,"Wufeng Township, Hsinchu County",,,,,,,,
,,312,"Hengshan Township, Hsinchu County",,,,,,,,
,,313,"Jianshi Township, Hsinchu County",,,,,,,,
,,314,"Beipu Township, Hsinchu County",,,,,,,,
,,315,"Emei Township, Hsinchu County",,,,,,,,
,,316,Hsinchu County,,,,,,,,
,,325,"Longtan Township, Taoyuan County",,,,,,,,
,,326,"Yangmei City, Taoyuan County",,,,,,,,
,,327,"Xinwu Township, Taoyuan County",,,,,,,,
,,328,"Guanyin Township, Taoyuan County",,,,,,,,
,,330,"Taoyuan City, Taoyuan County",,,,,,,,
,,333,"Guishan Township, Taoyuan County",,,,,,,,
,,334,"Bade City, Taoyuan County",,,,,,,,
,,335,"Daxi Township, Taoyuan County",,,,,,,,
,,336,"Fuxing Township, Taoyuan County",,,,,,,,
,,337,"Dayuan Township, Taoyuan County",,,,,,,,
,,338,"Luzhu Township, Taoyuan County",,,,,,,,
,,339,Taoyuan County,,,,,,,,
,,350,"Zhunan Township, Miaoli County",,,,,,,,
,,351,"Toufen Township, Miaoli County",,,,,,,,
,,352,"Sanwan Township, Miaoli County",,,,,,,,
,,353,"Nanzhuang Township, Miaoli County",,,,,,,,
,,354,"Shitan Township, Miaoli County",,,,,,,,
,,356,"Houlong Township, Miaoli County",,,,,,,,
,,357,"Tongxiao Township, Miaoli County",,,,,,,,
,,358,"Yuanli Township, Miaoli County",,,,,,,,
,,360,"Miaoli City, Miaoli County",,,,,,,,
,,361,"Zaoqiao Township, Miaoli County",,,,,,,,
,,362,"Touwu Township, Miaoli County",,,,,,,,
,,363,"Gongguan Township, Miaoli County",,,,,,,,
,,364,"Dahu Township, Miaoli County",,,,,,,,
,,365,"Tai'an Township, Miaoli County",,,,,,,,
,,366,"Tongluo Township, Miaoli County",,,,,,,,
,,367,"Sanyi Township, Miaoli County",,,,,,,,
,,368,"Xihu Township, Miaoli County",,,,,,,,
,,369,"Zhuolan Township, Miaoli County",,,,,,,,
,,370,Miaoli County,,,,,,,,
,,399,Hsinchu City and Hsinchu County,,,,,,,,
,,400,"Central Dist., Taichung City",,,,,,,,
,,401,"East Dist., Taichung City",,,,,,,,
,,402,"South Dist., Taichung City",,,,,,,,
,,403,"West Dist., Taichung City",,,,,,,,
,,404,"North Dist., Taichung City",,,,,,,,
,,406,"Beitun Dist., Taichung City",,,,,,,,
,,407,"Xitun Dist., Taichung City",,,,,,,,
,,408,"Nantun Dist., Taichung City",,,,,,,,
,,409,Taichung City,,,,,,,,
,,411,"Taiping Dist., Taichung County",,,,,,,,
,,412,"Dali Dist., Taichung County",,,,,,,,
,,413,"Wufeng Dist., Taichung County",,,,,,,,
,,414,"Wuri Dist., Taichung County",,,,,,,,
,,420,"Fengyuan Dist., Taichung County",,,,,,,,
,,421,"Houli Dist., Taichung County",,,,,,,,
,,422,"Shigang Dist., Taichung County",,,,,,,,
,,423,"Dongshi Dist., Taichung County",,,,,,,,
,,424,"Heping Dist., Taichung County",,,,,,,,
,,426,"Xinshe Dist., Taichung County",,,,,,,,
,,427,"Tanzi Dist., Taichung County",,,,,,,,
,,428,"Daya Dist., Taichung County",,,,,,,,
,,429,"Shengang Dist., Taichung County",,,,,,,,
,,432,"Dadu Dist., Taichung County",,,,,,,,
,,433,"Shalu Dist., Taichung County",,,,,,,,
,,434,"Longjing Dist., Taichung County",,,,,,,,
,,435,"Wuqi Dist., Taichung County",,,,,,,,
,,436,"Qingshui Dist., Taichung County",,,,,,,,
,,437,"Dajia Dist., Taichung County",,,,,,,,
,,438,"Waipu Dist., Taichung County",,,,,,,,
,,439,"Da'an Dist., Taichung County",,,,,,,,
,,440,Taichung County,,,,,,,,
,,499,Taichung City and Taichung County,,,,,,,,
,,500,"Changhua City, Changhua County",,,,,,,,
,,502,"Fenyuan Township, Changhua County",,,,,,,,
,,503,"Huatan Township, Changhua County",,,,,,,,
,,504,"Xiushui Township, Changhua County",,,,,,,,
,,505,"Lukang Township, Changhua County",,,,,,,,
,,506,"Fuxing Township, Changhua County",,,,,,,,
,,507,"Xianxi Township, Changhua County",,,,,,,,
,,508,"Hemei Township, Changhua County",,,,,,,,
,,509,"Shengang Township, Changhua County",,,,,,,,
,,510,"Yuanlin Township, Changhua County",,,,,,,,
,,511,"Shetou Township, Changhua County",,,,,,,,
,,512,"Yongjing Township, Changhua County",,,,,,,,
,,513,"Puxin Township, Changhua County",,,,,,,,
,,514,"Xihu Township, Changhua County",,,,,,,,
,,515,"Dacun Township, Changhua County",,,,,,,,
,,516,"Puyan Township, Changhua County",,,,,,,,
,,520,"Tianzhong Township, Changhua County",,,,,,,,
,,521,"Beidou Township, Changhua County",,,,,,,,
,,522,"Tianwei Township, Changhua County",,,,,,,,
,,523,"Pitou Township, Changhua County",,,,,,,,
,,524,"Xizhou Township, Changhua County",,,,,,,,
,,525,"Zhutang Township, Changhua County",,,,,,,,
,,526,"Erlin Township, Changhua County",,,,,,,,
,,527,"Dacheng Township, Changhua County",,,,,,,,
,,528,"Fangyuan Township, Changhua County",,,,,,,,
,,530,"Ershui Township, Changhua County",,,,,,,,
,,531,Changhua County,,,,,,,,
,,540,"Nantou City, Nantou County",,,,,,,,
,,541,"Zhongliao Township, Nantou County",,,,,,,,
,,542,"Caotun Township, Nantou County",,,,,,,,
,,544,"Guoxing Township, Nantou County",,,,,,,,
,,545,"Puli Township, Nantou County",,,,,,,,
,,546,"Ren'ai Township, Nantou County",,,,,,,,
,,551,"Mingjian Township, Nantou County",,,,,,,,
,,552,"Jiji Township, Nantou County",,,,,,,,
,,553,"Shuili Township, Nantou County",,,,,,,,
,,555,"Yuchi Township, Nantou County",,,,,,,,
,,556,"Xinyi Township, Nantou County",,,,,,,,
,,557,"Zhushan Township, Nantou County",,,,,,,,
,,558,"Lugu Township, Nantou County",,,,,,,,
,,559,Nantou County,,,,,,,,
,,600,Chiayi City,,,,,,,,
,,602,"Fanlu Township, Chiayi County",,,,,,,,
,,603,"Meishan Township, Chiayi County",,,,,,,,
,,604,"Zhuqi Township, Chiayi County",,,,,,,,
,,605,"Alishan Township, Chiayi County",,,,,,,,
,,606,"Zhongpu Township, Chiayi County",,,,,,,,
,,607,"Dapu Township, Chiayi County",,,,,,,,
,,608,"Shuishang Township, Chiayi County",,,,,,,,
,,611,"Lucao Township, Chiayi County",,,,,,,,
,,612,"Taibao City, Chiayi County",,,,,,,,
,,613,"Puzi City, Chiayi County",,,,,,,,
,,614,"Dongshi Township, Chiayi County",,,,,,,,
,,615,"Liujiao Township, Chiayi County",,,,,,,,
,,616,"Xingang Township, Chiayi County",,,,,,,,
,,621,"Minxiong Township, Chiayi County",,,,,,,,
,,622,"Dalin Township, Chiayi County",,,,,,,,
,,623,"Xikou Township, Chiayi County",,,,,,,,
,,624,"Yizhu Township, Chiayi County",,,,,,,,
,,625,"Budai Township, Chiayi County",,,,,,,,
,,626,Chiayi County,,,,,,,,
,,630,"Dounan Township, Yunlin County",,,,,,,,
,,631,"Dapi Township, Yunlin County",,,,,,,,
,,632,"Huwei Township, Yunlin County",,,,,,,,
,,633,"Tuku Township, Yunlin County",,,,,,,,
,,634,"Baozhong Township, Yunlin County",,,,,,,,
,,635,"Dongshi Township, Yunlin County",,,,,,,,
,,636,"Taixi Township, Yunlin County",,,,,,,,
,,637,"Lunbei Township, Yunlin County",,,,,,,,
,,638,"Mailiao Township, Yunlin County",,,,,,,,
,,640,"Douliu City, Yunlin County",,,,,,,,
,,643,"Linnei Township, Yunlin County",,,,,,,,
,,646,"Gukeng Township, Yunlin County",,,,,,,,
,,647,"Citong Township, Yunlin County",,,,,,,,
,,648,"Xiluo Township, Yunlin County",,,,,,,,
,,649,"Erlun Township, Yunlin County",,,,,,,,
,,651,"Beigang Township, Yunlin County",,,,,,,,
,,652,"Shuilin Township, Yunlin County",,,,,,,,
,,653,"Kouhu Township, Yunlin County",,,,,,,,
,,654,"Sihu Township, Yunlin County",,,,,,,,
,,655,"Yuanchang Township, Yunlin County",,,,,,,,
,,656,Yunlin County,,,,,,,,
,,699,Chiayi City and Chiayi County,,,,,,,,
,,700,"West Dist., Tainan City",,,,,,,,
,,701,"East Dist., Tainan City",,,,,,,,
,,702,"South Dist., Tainan City",,,,,,,,
,,704,"North Dist., Tainan City",,,,,,,,
,,708,"Anping Dist., Tainan City",,,,,,,,
,,709,"Annan Dist., Tainan City",,,,,,,,
,,710,"Yongkang Dist., Tainan County",,,,,,,,
,,711,"Guiren Dist., Tainan County",,,,,,,,
,,712,"Xinhua Dist., Tainan Count",,,,,,,,
,,713,"Zuozhen Dist., Tainan County",,,,,,,,
,,714,"Yujing Dist., Tainan County",,,,,,,,
,,715,"Nanxi Dist., Tainan County",,,,,,,,
,,716,"Nanhua Dist., Tainan County",,,,,,,,
,,717,"Rende Dist., Tainan County",,,,,,,,
,,718,"Guanmiao Dist., Tainan County",,,,,,,,
,,719,"Longqi Dist., Tainan County",,,,,,,,
,,720,"Guantian Dist., Tainan County",,,,,,,,
,,721,"Madou Dist., Tainan County",,,,,,,,
,,722,"Jiali Dist., Tainan County",,,,,,,,
,,723,"Xigang Dist., Tainan County",,,,,,,,
,,724,"Qigu Dist., Tainan County",,,,,,,,
,,725,"Jiangjun Dist., Tainan County",,,,,,,,
,,726,"Xuejia Dist., Tainan County",,,,,,,,
,,727,"Beimen Dist., Tainan County",,,,,,,,
,,730,"Xinying Dist., Tainan County",,,,,,,,
,,731,"Houbi Dist., Tainan County",,,,,,,,
,,732,"Baihe Dist., Tainan County",,,,,,,,
,,733,"Dongshan Dist., Tainan County",,,,,,,,
,,734,"Liujia Dist., Tainan County",,,,,,,,
,,735,"Xiaying Dist., Tainan County",,,,,,,,
,,736,"Liuying Dist., Tainan County",,,,,,,,
,,737,"Yanshui Dist., Tainan County",,,,,,,,
,,741,"Shanhua Dist., Tainan County",,,,,,,,
,,742,"Danei Dist., Tainan County",,,,,,,,
,,743,"Shanshang Dist., Tainan County",,,,,,,,
,,744,"Xinshi Dist., Tainan County",,,,,,,,
,,745,"Anding Dist., Tainan County",,,,,,,,
,,746,Tainan County,,,,,,,,
,,747,Tainan City,,,,,,,,
,,799,Tainan City and Tainan County,,,,,,,,
,,801,"Qianjin Dist., Kaohsiung City",,,,,,,,
,,802,"Lingya Dist., Kaohsiung City",,,,,,,,
,,803,"Yancheng Dist., Kaohsiung City",,,,,,,,
,,804,"Gushan Dist., Kaohsiung City",,,,,,,,
,,805,"Qijin Dist., Kaohsiung City",,,,,,,,
,,806,"Qianzhen Dist., Kaohsiung City",,,,,,,,
,,807,"Sanmin Dist., Kaohsiung City",,,,,,,,
,,811,"Nanzi Dist., Kaohsiung City",,,,,,,,
,,812,"Xiaogang Dist., Kaohsiung City",,,,,,,,
,,813,"Zuoying Dist., Kaohsiung City",,,,,,,,
,,814,"Renwu Dist., Kaohsiung County",,,,,,,,
,,815,"Dashe Dist., Kaohsiung County",,,,,,,,
,,817,"Dongsha Islands, Nanhai Islands",,,,,,,,
,,819,"Nansha Islands, Nanhai Islands",,,,,,,,
,,820,"Gangshan Dist., Kaohsiung County",,,,,,,,
,,821,"Luzhu Dist., Kaohsiung County",,,,,,,,
,,822,"Alian Dist., Kaohsiung County",,,,,,,,
,,823,"Tianliao Dist., Kaohsiung County",,,,,,,,
,,824,"Yanchao Dist., Kaohsiung County",,,,,,,,
,,825,"Qiaotou Dist., Kaohsiung County",,,,,,,,
,,826,"Ziguan Dist., Kaohsiung County",,,,,,,,
,,827,"Mituo Dist., Kaohsiung County",,,,,,,,
,,828,"Yong'an Dist., Kaohsiung County",,,,,,,,
,,829,"Hunei Dist., Kaohsiung County",,,,,,,,
,,830,"Fengshan Dist., Kaohsiung County",,,,,,,,
,,831,"Daliao Dist., Kaohsiung County",,,,,,,,
,,832,"Linyuan Dist., Kaohsiung County",,,,,,,,
,,833,"Niaosong Dist., Kaohsiung County",,,,,,,,
,,840,"Dashu Dist., Kaohsiung County",,,,,,,,
,,842,"Qishan Dist., Kaohsiung County",,,,,,,,
,,843,"Meinong Dist., Kaohsiung County",,,,,,,,
,,844,"Liugui Dist., Kaohsiung County",,,,,,,,
,,845,"Neimen Dist., Kaohsiung County",,,,,,,,
,,846,"Shanlin Dist., Kaohsiung County",,,,,,,,
,,847,"Jiaxian Dist., Kaohsiung County",,,,,,,,
,,848,"Taoyuan Dist., Kaohsiung County",,,,,,,,
,,849,"Sanming Dist., Kaohsiung County",,,,,,,,
,,851,"Maolin Dist., Kaohsiung County",,,,,,,,
,,852,"Qieding Dist., Kaohsiung County",,,,,,,,
,,853,Kaohsiung County,,,,,,,,
,,854,Kaohsiung City,,,,,,,,
,,880,"Magong City, Penghu County",,,,,,,,
,,881,"Xiyu Township, Penghu County",,,,,,,,
,,882,"Wang'an Township, Penghu County",,,,,,,,
,,883,"Qimei Township, Penghu County",,,,,,,,
,,884,"Baisha Township, Penghu County",,,,,,,,
,,885,"Huxi Township, Penghu County",,,,,,,,
,,886,Penhu County,,,,,,,,
,,890,"Jinsha Township, Kinmen County",,,,,,,,
,,891,"Jinhu Township, Kinmen County",,,,,,,,
,,892,"Jinning Township, Kinmen County",,,,,,,,
,,893,"Jincheng Township, Kinmen County",,,,,,,,
,,894,"Lieyu Township, Kinmen County",,,,,,,,
,,896,"Wuqiu Township, Kinmen County",,,,,,,,
,,897,Kinmen County,,,,,,,,
,,899,Kaohsiung City and Kaohsiung County,,,,,,,,
,,900,"Pingtung City, Pingtung County",,,,,,,,
,,901,"Sandimen Township, Pingtung County",,,,,,,,
,,902,"Wutai Township, Pingtung County",,,,,,,,
,,903,"Majia Township, Pingtung County",,,,,,,,
,,904,"Jiuru Township, Pingtung County",,,,,,,,
,,905,"Ligang Township, Pingtung County",,,,,,,,
,,906,"Gaoshu Township, PingtungCounty",,,,,,,,
,,907,"Yanpu Township, Pingtung County",,,,,,,,
,,908,"Changzhi Township, Pingtung County",,,,,,,,
,,909,"Linluo Township, Pingtung County",,,,,,,,
,,911,"Zhutian Township, Pingtung County",,,,,,,,
,,912,"Neipu Township, Pingtung County",,,,,,,,
,,913,"Wandan Township, Pingtung County",,,,,,,,
,,920,"Chaozhou Township, Pingtung County",,,,,,,,
,,921,"Taiwu Township, Pingtung County",,,,,,,,
,,922,"Laiyi Township, Pingtung County",,,,,,,,
,,923,"Wanluan Township, Pingtung County",,,,,,,,
,,924,"Kanding Township, Pingtung County",,,,,,,,
,,925,"Xinpi Township, Pingtung County",,,,,,,,
,,926,"Nanzhou Township, Pingtung County",,,,,,,,
,,927,"Linbian Township, Pingtung County",,,,,,,,
,,928,"Donggang Township, Pingtung County",,,,,,,,
,,929,"Liuqiu Township, Pingtung County",,,,,,,,
,,931,"Jiadong Township, Pingtung County",,,,,,,,
,,932,"Xinyuan Township, Pingtung County",,,,,,,,
,,940,"Fangliao Township, Pingtung County",,,,,,,,
,,941,"Fangshan Township, Pingtung County",,,,,,,,
,,942,"Chunri Township, Pingtung County",,,,,,,,
,,943,"Shizi Township, Pingtung County",,,,,,,,
,,944,"Checheng Township, Pingtung County",,,,,,,,
,,945,"Mudan Township, Pingtung County",,,,,,,,
,,946,"Hengchun Township, Pingtung County",,,,,,,,
,,947,"Manzhou Township, Pingtung County",,,,,,,,
,,948,Pingtung County ,,,,,,,,
,,950,"Taitung City, Taitung County",,,,,,,,
,,951,"Ludao Township, Taitung County",,,,,,,,
,,952,"Lanyu Township, Taitung County",,,,,,,,
,,953,"Yanping Township, Taitung County",,,,,,,,
,,954,"Beinan Township, Taitung County",,,,,,,,
,,955,"Luye Township, Taitung County",,,,,,,,
,,956,"Guanshan Township, Taitung County",,,,,,,,
,,957,"Haiduan Township, Taitung County",,,,,,,,
,,958,"Chishang Township, Taitung County",,,,,,,,
,,959,"Donghe Township, Taitung County",,,,,,,,
,,961,"Chenggong Township, Taitung County",,,,,,,,
,,962,"Changbin Township, Taitung County",,,,,,,,
,,963,"Taimali Township, Taitung County",,,,,,,,
,,964,"Jinfeng Township, Taitung County",,,,,,,,
,,965,"Dawu Township, Taitung County",,,,,,,,
,,966,"Daren Township, Taitung County",,,,,,,,
,,967,Taitung County,,,,,,,,
,,970,"Hualien City, Hualien County",,,,,,,,
,,971,"Xincheng Township, Hualien County",,,,,,,,
,,972,"Xiulin Township, Hualien County",,,,,,,,
,,973,"Ji'an Township, Hualien County",,,,,,,,
,,974,"Shoufeng Township, Hualien County",,,,,,,,
,,975,"Fenglin Township, Hualien County",,,,,,,,
,,976,"Guangfu Township, Hualien County",,,,,,,,
,,977,"Fengbin Township, Hualien County",,,,,,,,
,,978,"Ruisui Township, Hualien County",,,,,,,,
,,979,"Wanrong Township, Hualien County",,,,,,,,
,,981,"Yuli Township, Hualien County",,,,,,,,
,,982,"Zhuoxi Township, Hualien County",,,,,,,,
,,983,"Fuli Township, Hualien County",,,,,,,,
work_athome,What is your total commuting time for going to your workplace and back to home?,0,Skip ,a09c01,a09c01,a09g01,a09c01,a09c01,a09c01,a07d01,a08d01
,,1,work at home,,,,,,,,
,,2,commuting time: minutes (estimate by the usual way of commuting),,,,,,,,
,,9,Missing,,,,,,,,
commute_time,commuting time: minutes (estimate by the usual way of commuting),991, It¡¦s not fixed.,a09c02,a09c02,a09g02,a09c02,a09c02,a09c02,a07d02,a08d02
,,996,Don¡¦t knows,,,,,,,,
,,999,Missing,,,,,,,,
work_hours,How many hours do you work per week on average? hour(s),991, It¡¦s not fixed,a11a,a11a,a11a,a11a,a11a,a11a,a09b,a10b01
,,996,Don¡¦t knows,,,,,,,,
,,999,Missing,,,,,,,,
work_years,How long have you been working at this job? ____year(s),96,Don¡¦t knows ,a11b,a11b,a11b,a11b,a11b,a11b,a10a,a12a
work_plus," In addition to the above job, do you have part-time jobs?",0,Skip ,a12,a12,a12,a12,a12,a12,a13a,a14a
,,1,Yes,,,,,,,,
,,2,No,,,,,,,,
work_plus_forwhom,For whom do you work?,0,Skip ,a13b,a13b,a13b,a13b,a13b,a13b,a13b,a14b
,,1,Self-employed without employees,,,,,,,,
,,2,Self-employed with employees,,,,,,,,
,,3,Employed by an private company,,,,,,,,
,,4,Employed by a public enterprise,,,,,,,,
,,5,Working for family business with regular salary,,,,,,,,
,,6,Government employee,,,,,,,,
,,7,Employee of a non-profit organization,,,,,,,,
,,8,Working for family business without salary,,,,,,,,
,,9,Own the business jointly with others without employees,,,,,,,,
,,97,Others,,,,,,,,
work_plus_wage,What is the average monthly income of this part-time job? NT$______,9999991," Income is negative,or is not fixed,or is no surplus.",a13c,a13c,a13c,a13c,a13c,a13c,a13d,a14d
,,9999996,Don¡¦t knows,,,,,,,,
,,9999998,Refuse to answer,,,,,,,,
work_plus_hours,How many hours do you work for this part-time per week on average? hour(s)______,991, It¡¦s not fixed,a13d,a13d,a13d,a13d,a13d,a13d,a13e,a14e
marstat,What is your current (latest) marital status?,1, Single ,a16,a16,a16,a16,a16,a16,a16a,a17a
,,2,Cohabiting,,,,,,,,
,,3,Married,,,,,,,,
,,4,"Divorced, and remarried",,,,,,,,
,,5,"Widowed, and remarried",,,,,,,,
,,6,Separated,,,,,,,,
,,7,Divorced,,,,,,,,
,,8,Widowed,,,,,,,,
,,97,Others,,,,,,,,
sp_birth_year,In which year was your spouse born? _______ R.O.C. year,0,Skip,a17,a17,a17,a17,a17,a17,a26,a27
,,96,Don¡¦t know,,,,,,,,
,,98,Refuse to answer,,,,,,,,
sp_edu,What is the highest level of education that your spouse has attained?,0,Skip,a19,a19,a18,a18,a18,a18,a27,a28
,,1,None,,,,,,,,
